,bert-base-uncased,xlm-roberta-base,bert-base-multilingual-cased,allenai/longformer-base-4096,microsoft/deberta-base,distilbert-base-multilingual-cased,roberta-base,xlnet-base-cased,google/electra-base-discriminator,distilroberta-base,distilbert-base-uncased,albert-base-v2
train,0.9694710117194268,0.9987755509164508,0.9475574239726787,0.9988195440973072,0.9905910724212279,0.9765865859906281,0.998357929258282,0.9934194008584131,0.9548151581881259,0.9994863665625869,0.9877066827534536,0.9708728659996934
validation,0.7884248410107939,0.9921787248765216,0.638384413732834,0.9920565603955723,0.9336380991626307,0.8359363421552002,0.9886276799818052,0.9526772730714733,0.6951535497408501,0.9963821959735509,0.9131444830285634,0.7923499849368718
test,0.7688504846496138,0.9922076864166045,0.6072456768444083,0.9913003831144515,0.9282678013324258,0.8139549665634747,0.9877297367461088,0.9497992910780778,0.6549260245063047,0.9961435417831224,0.9027223013374109,0.7762017649276309
