,bert-base-uncased,xlm-roberta-base,bert-base-multilingual-cased,allenai/longformer-base-4096,microsoft/deberta-base,distilbert-base-multilingual-cased,roberta-base,xlnet-base-cased,google/electra-base-discriminator,distilroberta-base,distilbert-base-uncased,albert-base-v2
bert-base-uncased,,0.36530619073639836,0.3489978249197523,0.43218830038574507,0.4007605768403705,0.45859570592856247,0.40716363220058804,0.22517402572579615,0.40382636032793384,0.4628358167112725,0.7628921123078496,0.4955271093669599
xlm-roberta-base,0.2858649396112387,,0.30890263609215063,0.4266689211894118,0.3871363917823153,0.4365278260194768,0.40381722347320725,0.22054067349648954,0.2755767359677308,0.47278173898619147,0.37018132988434405,0.4511966152839073
bert-base-multilingual-cased,0.3323965767522248,0.3758359694204617,,0.4016811302078067,0.37122527255023186,0.715496888462287,0.3741729510295423,0.22335684959550128,0.30066310471283164,0.43419494464188624,0.42446034479618444,0.4342383665398135
allenai/longformer-base-4096,0.36349481110020854,0.4203487216298101,0.34602081482662495,,0.5684118486939307,0.46944816891109875,0.8456688659680575,0.2519959373084548,0.33067065973013143,0.8044631436972907,0.4643111942518091,0.48541253615942603
microsoft/deberta-base,0.34368634489599137,0.4092120326249251,0.33307445231179045,0.5845713318213192,,0.4547630844974626,0.5506507786834205,0.24866444773624752,0.31988226808145404,0.6443421943325374,0.44022889715772373,0.4781371449879357
distilbert-base-multilingual-cased,0.3720740823909451,0.4299635195450304,0.6319805722445412,0.4560075745527852,0.4288708762238683,,0.4260663047018044,0.24959443557704963,0.3234296963783768,0.4980826857425197,0.48701107441679425,0.4852598046401446
roberta-base,0.34960669083210416,0.4107079966577173,0.33208743365869686,0.8573295969222636,0.5514128036474043,0.45170030721143895,,0.24214482130585724,0.323379134995868,0.8056903167928827,0.44699053904164787,0.476190671175181
xlnet-base-cased,0.2135496374120136,0.3000082192842598,0.2232933273868557,0.3167837328943003,0.27750587965257656,0.30498334675801253,0.29129451042305643,,0.24633510770773348,0.3458631365834043,0.27145090856137577,0.3907795613288707
google/electra-base-discriminator,0.33207251440454477,0.35262392335690496,0.2699795547253381,0.3930995513034887,0.346641457859203,0.35507597082010056,0.3685968537059111,0.23737877327891654,,0.4206793362544591,0.40474179431775503,0.48118324479272867
distilroberta-base,0.3700024867838613,0.4374629546813371,0.35827838628837083,0.7810471113904979,0.598070442728691,0.48975512306094304,0.7630099461693943,0.2631422983668448,0.3367679454595931,,0.47654712311492253,0.5063094223199849
distilbert-base-uncased,0.7054316937942504,0.4019092901870909,0.3935891076435838,0.4817520430830179,0.44750862642096556,0.5219292239290447,0.45319204894338383,0.25142811273917476,0.44094404460410486,0.5187238153301591,,0.5432965535634489
albert-base-v2,0.34929109809422254,0.3951548846405468,0.3085746900075297,0.4212908742872933,0.39070802232200774,0.42100515159098006,0.398414398971502,0.27307179427063544,0.3600321758043248,0.4632501839693115,0.44703170374140555,
