,bert-base-uncased,xlm-roberta-base,bert-base-multilingual-cased,allenai/longformer-base-4096,microsoft/deberta-base,distilbert-base-multilingual-cased,roberta-base,xlnet-base-cased,google/electra-base-discriminator,distilroberta-base,distilbert-base-uncased,albert-base-v2
train,0.7540641489133003,0.5827559416228559,0.6993565739529891,0.9010978998342899,0.7097955736635284,0.8112028559293302,0.8890024068677921,0.42442862599001896,0.5762620199261888,0.878981657143256,0.8384324165046794,0.6917506690022714
validation,0.7184859587548816,0.5160548761115161,0.6578302506773412,0.8861497266708254,0.6672401293270298,0.785641982644034,0.872161467409747,0.3431681603334271,0.5124724291085021,0.8605612776218297,0.8146467355687036,0.6460296919758488
test,0.7166519260073361,0.5245818586479706,0.6502086042070778,0.8878485121898878,0.6677625457918384,0.779808188561484,0.8738193088810822,0.3355019337094335,0.5135069510780718,0.8632315280042491,0.8141122402325581,0.6439326259899321
