,bert-base-uncased,xlm-roberta-base,bert-base-multilingual-cased,allenai/longformer-base-4096,microsoft/deberta-base,distilbert-base-multilingual-cased,roberta-base,xlnet-base-cased,google/electra-base-discriminator,distilroberta-base,distilbert-base-uncased,albert-base-v2
bert-base-uncased,,0.47485333736833946,0.46547851230823645,0.42048927148016735,0.38517191065981105,0.5552019292812898,0.4000628387872299,0.44152339223749393,0.4765308328514104,0.441942383437414,0.7669634435495248,0.6265221599335539
xlm-roberta-base,0.38976940453831654,,0.3783804151795048,0.39305649644656415,0.3720371313719262,0.47379914620792785,0.377166965681873,0.3863069563029845,0.34612495910468566,0.42803509943298634,0.44520070053494853,0.5393809961937075
bert-base-multilingual-cased,0.46773152342864366,0.48625585875510224,,0.4051398993316577,0.38061704293967136,0.749288605103585,0.3827312687259644,0.4176698030050068,0.41446572588824127,0.42534490527431,0.5363700097342525,0.5638141129232561
allenai/longformer-base-4096,0.4611863865068052,0.49693373978639066,0.4437586252162701,,0.6092955618852938,0.5393662148640115,0.7559855272253894,0.4353121086923961,0.4046462943821041,0.8159671897183278,0.530630502764675,0.5822211580720565
microsoft/deberta-base,0.43333860245847666,0.5093806511614174,0.4185451149921904,0.5923211503116572,,0.5009463103450755,0.5653470290493187,0.4345515145084283,0.39760356266372954,0.6552162450874359,0.4879336246606909,0.5789159479650372
distilbert-base-multilingual-cased,0.5080392861035858,0.5284980550778338,0.6688903273231066,0.4553263191411464,0.4244088155700254,,0.4317548724011331,0.4552037200941145,0.4359883010379453,0.4845258498972175,0.6013150769975295,0.6067467050283181
roberta-base,0.4488355014549591,0.49476539145710474,0.4285103172633459,0.7828023818403655,0.588202499297199,0.5194444490956938,,0.43118711834316137,0.3973797540451879,0.808769211442687,0.5116627451395868,0.5739625726153981
xlnet-base-cased,0.4124029037336806,0.47282556225596206,0.38154453480938955,0.3590669783766689,0.34422793319118594,0.45017940743981655,0.34602621430127223,,0.40072976838117214,0.38668186439100616,0.45952905507241504,0.6191705599015493
google/electra-base-discriminator,0.48312938754658186,0.4856062842760239,0.4173005276638838,0.3921933374834484,0.37547345303887225,0.48084675741330607,0.3767439812296248,0.4531385545144728,,0.41431438618443106,0.5398588018874719,0.6166282704658218
distilroberta-base,0.4777893242191795,0.5231682302315455,0.45618978261119736,0.7950497191205688,0.6472248330399288,0.5592996525319798,0.7615348391095037,0.45592818526893064,0.4210944179034912,,0.5529493835308283,0.6058629140605556
distilbert-base-uncased,0.7138313162015928,0.5015728035665518,0.5103920648672275,0.46312575544601353,0.42445675605338284,0.6226127887182275,0.4393710165212683,0.4825593884332663,0.5196136174500322,0.490629277520495,,0.6618958554981544
albert-base-v2,0.48124617277055415,0.48920808083790346,0.41083057796574285,0.3889285072026094,0.37621428026332693,0.4973896806026522,0.37616845919963193,0.5056574886678613,0.4425209413343063,0.42060349739878844,0.5494638489150483,
