,bert-base-uncased,xlm-roberta-base,bert-base-multilingual-cased,allenai/longformer-base-4096,microsoft/deberta-base,distilbert-base-multilingual-cased,roberta-base,xlnet-base-cased,google/electra-base-discriminator,distilroberta-base,distilbert-base-uncased,albert-base-v2
bert-base-uncased,,0.9993784369316718,0.9194744617854775,0.9933327337218634,0.9816633565957081,0.955743316277505,0.9932217236747629,0.9834035704972409,0.9901527711979097,0.9955070920210446,0.9813555264388357,0.9695740747842128
xlm-roberta-base,0.8899158719989508,,0.9179007562167681,0.9932585212211558,0.9805199358369624,0.9585678957010303,0.993307651727834,0.9852186057995859,0.9879411810683554,0.9958213765862307,0.9240751218348252,0.968355501218576
bert-base-multilingual-cased,0.9022300733775199,0.9994313093638045,,0.9929894497573004,0.979949163542868,0.9769991374771083,0.9929244564969323,0.9848029548817401,0.9882999146742157,0.9954526042052568,0.9347546928511645,0.9670267573719893
allenai/longformer-base-4096,0.9131217035836112,0.9994338231931899,0.9215089710427188,,0.9870345747911252,0.9589746242172577,0.9988937137407292,0.9865217754115776,0.9897087756290244,0.9983186190630807,0.942765440434574,0.9711851859565678
microsoft/deberta-base,0.9130280780694351,0.9994274128826703,0.9215369392575086,0.9952125987135799,,0.959310937873656,0.9951116681618292,0.9865376323137562,0.9901974718211588,0.9970095558909834,0.9422981421346674,0.9715910064002506
distilbert-base-multilingual-cased,0.897646541450679,0.9994703228288392,0.9467318772389436,0.9929720415916456,0.9797557010771761,,0.992984524500657,0.9846496122175786,0.987872983322294,0.9956552743982992,0.9329927647530563,0.9678133434527652
roberta-base,0.9106612288088758,0.9994328951675143,0.9204464167056621,0.9988910149513476,0.9866798288960215,0.9585639012467909,,0.9863378369878064,0.9895737945121005,0.9983886523940356,0.9408691247313595,0.9710534796642964
xlnet-base-cased,0.8900313436889234,0.999315931068363,0.9101548628116256,0.9926028408337723,0.9793117470678122,0.9497599224415048,0.9924988528061041,,0.9864980226519298,0.9951094751436662,0.9233607003437938,0.9628718352791992
google/electra-base-discriminator,0.8642131019492476,0.9992542745725451,0.8927180186555603,0.9911163388666889,0.9729900109816492,0.934117441856569,0.99114882886943,0.9826523465647187,,0.9937916030247456,0.8985549469416916,0.9585975792735852
distilroberta-base,0.9080535710147423,0.999458143533095,0.9220103714511879,0.9970684750983474,0.98640716708952,0.9609972025479623,0.9972298235862184,0.9864576966740295,0.9889214560190133,,0.9399888762058216,0.971592113713447
distilbert-base-uncased,0.9696941546067944,0.999424097096207,0.9241323111077667,0.9938380458053329,0.9830294397578596,0.9603730438653435,0.9937366243111091,0.9844018184828198,0.9904948142668563,0.9959831823449359,,0.9725443513877026
albert-base-v2,0.8946405263501324,0.9994109592315408,0.91305432359586,0.9929751084098438,0.9799024024318432,0.9535480495460004,0.9929902409282224,0.9852451206046724,0.9897592482067966,0.9954661512152602,0.9285413918739235,
