,bert-base-uncased,xlm-roberta-base,bert-base-multilingual-cased,allenai/longformer-base-4096,microsoft/deberta-base,distilbert-base-multilingual-cased,roberta-base,xlnet-base-cased,google/electra-base-discriminator,distilroberta-base,distilbert-base-uncased,albert-base-v2
train,0.9182639468078074,0.8527561014813216,0.8573607324550977,0.9689369311187418,0.9115159916284389,0.9149195587649686,0.968153519093499,0.668557335354633,0.850814209548368,0.9516419911328214,0.9481042903769864,0.8957924340126843
validation,0.7452426030762521,0.5294735638804875,0.5727823400987162,0.9037482923087683,0.7298991121689683,0.7509693658840294,0.9038515861283387,0.03612421122520304,0.5421266389282684,0.8509152513206326,0.8387501631496268,0.6704468969177473
test,0.7256084899118826,0.5709157271684209,0.5317112565847217,0.8965267651219823,0.706988959903185,0.7242320879511502,0.8957881331461677,-0.10491075583736764,0.5609033433942632,0.846372721878303,0.8230222487711084,0.6598911640319439
