,bert-base-uncased,xlm-roberta-base,bert-base-multilingual-cased,allenai/longformer-base-4096,microsoft/deberta-base,distilbert-base-multilingual-cased,roberta-base,xlnet-base-cased,google/electra-base-discriminator,distilroberta-base,distilbert-base-uncased,albert-base-v2
bert-base-uncased,,0.5705408536564839,0.48972902563323784,0.6356303768964545,0.6573988801156676,0.5977195491670764,0.6189441558133235,0.27113908971727785,0.6282031548271828,0.6564670194666364,0.873792440821493,0.6792811427508219
xlm-roberta-base,0.47295958474564304,,0.4755250647888034,0.6429973406332893,0.6434007060470865,0.6137090476656218,0.6300776598982921,0.2928961318152695,0.5593435429596194,0.6873156782618701,0.5560239195884711,0.6741122121360676
bert-base-multilingual-cased,0.4874623153264025,0.5730346486252267,,0.5949314949852427,0.60225412323238,0.7786509152612893,0.5766253184824539,0.27338212412052043,0.541211501321109,0.6253782151688771,0.5702952696948488,0.6246148074253182
allenai/longformer-base-4096,0.5547147079084632,0.6284908921538876,0.4988670551489959,,0.7592600106322623,0.6259041575688138,0.9301515212625677,0.30783231475886397,0.6049289237818178,0.8725557789720738,0.6413383828904874,0.6983923923820453
microsoft/deberta-base,0.5629085795578719,0.6262828099594058,0.5045815333871309,0.7435480426653444,,0.631369643733938,0.7276714554024835,0.30743546460611204,0.6129796988726526,0.7771835937029248,0.647878440012791,0.6988076208693419
distilbert-base-multilingual-cased,0.5117213565319132,0.6227407362165589,0.7021594083428704,0.6328009788371469,0.6402397554883733,,0.6152005169677708,0.29142257232668034,0.5607250219703901,0.6739842567785981,0.6081142069121059,0.666477752496963
roberta-base,0.544792462151209,0.6249463657344732,0.4893812107448374,0.9307636859315086,0.7509845326682342,0.6169796525646948,,0.3012298028772661,0.6007476064312782,0.874768239726801,0.6306525794760416,0.6943853093292307
xlnet-base-cased,0.36916292659092065,0.49099901363928633,0.36725006921751335,0.527028403938444,0.5256982236570877,0.47318703802419126,0.5119668825023584,,0.46930885742610007,0.5602433001617749,0.4375084041818734,0.5613548543542075
google/electra-base-discriminator,0.42145093056630056,0.5263415058760841,0.36604877941762126,0.5718780885844221,0.5517335832776508,0.4568204293777274,0.5548874927001337,0.266614861366558,,0.5883004107989169,0.4793891844573991,0.6277971737943144
distilroberta-base,0.5419012956547535,0.6430199469933311,0.50521483712925,0.8478742048221825,0.7568647425971353,0.6419166609154546,0.8445063723850107,0.3164350606978097,0.5941788069640861,,0.6333679320335499,0.7071262342048803
distilbert-base-uncased,0.8345450017118066,0.6015068331088252,0.522471954530914,0.6674264938134911,0.686728315290668,0.6424853252356268,0.6502064040777051,0.2904866161546017,0.6492437821496735,0.695203846124723,,0.7129019410909756
albert-base-v2,0.5038936847633427,0.6009834992577047,0.45519370682274907,0.63375132883426,0.6346679850570598,0.5817877744898252,0.6186278466610189,0.3042316111296546,0.6124404256619926,0.6703874333220962,0.5902847895117711,
