,bert-base-uncased,xlm-roberta-base,bert-base-multilingual-cased,allenai/longformer-base-4096,microsoft/deberta-base,distilbert-base-multilingual-cased,roberta-base,xlnet-base-cased,google/electra-base-discriminator,distilroberta-base,distilbert-base-uncased,albert-base-v2
bert-base-uncased,,0.7579063460055402,0.6820830347173641,0.807804050991588,0.8234275390743531,0.7654940494559067,0.801044584013483,0.8027190864265745,0.8488461813181465,0.8162133280948328,0.9320468036204653,0.83997630507026
xlm-roberta-base,0.6740762067469039,,0.6729071491925194,0.8047942751594251,0.812843823963061,0.7738361840954057,0.8042490720429013,0.8328525741400716,0.8138718808425977,0.8271749441660851,0.7307240118271408,0.834052713924609
bert-base-multilingual-cased,0.6838576266007752,0.7608618585959286,,0.7761495871396575,0.786294478401362,0.8636607288039891,0.7724804483524788,0.8098363977364884,0.8068084642945319,0.7935124483941222,0.7384537425829025,0.8070144014110849
allenai/longformer-base-4096,0.7476369736769171,0.7902572287635011,0.6899394720196332,,0.8745261829962534,0.7800135640691697,0.968501721376314,0.8491673311858683,0.8474442988895181,0.9322126815827128,0.7987220079822422,0.8500058352499822
microsoft/deberta-base,0.7444357894063235,0.7889227491329344,0.6927543471841944,0.8601135633305459,,0.7825502676855125,0.8553492838174873,0.8527271322028996,0.8569065712634315,0.8757019636768094,0.7947230649995681,0.8520577980804288
distilbert-base-multilingual-cased,0.6963324858055622,0.7889407491883191,0.8013803847759013,0.791081615670665,0.8002332492232098,,0.78968429434548,0.8156581319514848,0.8050480198984221,0.8165149299953879,0.7579536693107382,0.8247440243260693
roberta-base,0.7401740218467483,0.7907804681357061,0.6858822641045553,0.9707434026119133,0.8720441951342464,0.7784535312898964,,0.8473002341057321,0.8457294265228219,0.9359409917812569,0.7924434239961754,0.8497775116671443
xlnet-base-cased,0.6877769261690949,0.7402091237203807,0.6555437967037931,0.7919252624492137,0.8096683461176536,0.7419332404528953,0.7837784513775408,,0.7961095778517209,0.8054927898757985,0.739165672948126,0.8120638530353437
google/electra-base-discriminator,0.5943972923876173,0.7059904939567646,0.5553021682246749,0.7373204971639087,0.7400060129592525,0.6258189183983527,0.7366157582233078,0.789412615024163,,0.7395119125545475,0.637340307299114,0.7728266184041099
distilroberta-base,0.7324346789977301,0.7968414937780228,0.6934099891311036,0.9174336798195983,0.8690244328205267,0.7901094174076886,0.9215513018287979,0.848011817751744,0.8319571717167709,,0.7899669696161005,0.8511192836008494
distilbert-base-uncased,0.909319403522663,0.7751096996382366,0.700769721506546,0.8212248767326435,0.8352341769767836,0.7885865542951955,0.8148204977401874,0.8163270704725908,0.8512851529304303,0.834263943414972,,0.8546288314756493
albert-base-v2,0.6904623382663295,0.7704031047368258,0.6530891146109896,0.7957796144667649,0.8079754283652169,0.747764404322284,0.7932017972717501,0.8330156078019177,0.8438470071949244,0.811698234088881,0.7474233895687141,
