,bert-base-uncased,xlm-roberta-base,bert-base-multilingual-cased,allenai/longformer-base-4096,microsoft/deberta-base,distilbert-base-multilingual-cased,roberta-base,xlnet-base-cased,google/electra-base-discriminator,distilroberta-base,distilbert-base-uncased,albert-base-v2
train,0.8870040337010541,0.8029521774470172,0.8362269306698114,0.9588534656456649,0.8736932886557227,0.8996998720794164,0.9564038310021942,0.6384077172650688,0.7938586623447172,0.9397635009909276,0.9274996298563297,0.8594176560112479
validation,0.6647928201850595,0.36067227156830084,0.5242711877153894,0.8733179558097319,0.6167722323407996,0.7165674137228399,0.8643210367673122,-0.10047312798932162,0.36751467625650114,0.8086501372851232,0.7888887529607972,0.5573859131402195
test,0.6342672683836541,0.3864848583417889,0.466528803037484,0.8666436096750312,0.5909328249374388,0.6776938263824883,0.8577227052666039,-0.14685544610732815,0.34921600262079255,0.8072999013704724,0.7624237997351753,0.5456310098476072
