,bert-base-uncased,xlm-roberta-base,bert-base-multilingual-cased,allenai/longformer-base-4096,microsoft/deberta-base,distilbert-base-multilingual-cased,roberta-base,xlnet-base-cased,google/electra-base-discriminator,distilroberta-base,distilbert-base-uncased,albert-base-v2
bert-base-uncased,,0.80907066321554,0.7454491333553681,0.8401476532940028,0.8516492240101852,0.7892819037835453,0.8387597041492515,0.8400584406251438,0.8850916918574008,0.8491610963391721,0.9396295177802733,0.873660397987552
xlm-roberta-base,0.7310149348370645,,0.7406481023354641,0.8375915734279684,0.8451466992074954,0.8041490596204768,0.8407261683460222,0.8758391614468047,0.8586746474051884,0.8558973203516784,0.7755156043006229,0.8699673533295355
bert-base-multilingual-cased,0.77098752342086,0.8360805884458565,,0.8364278779895247,0.8457252160239217,0.8997847137101727,0.837679608163523,0.8714955614049469,0.8654210218412268,0.8528646797408019,0.8126432974827211,0.8680436645400536
allenai/longformer-base-4096,0.7926764004311432,0.834738873327487,0.7519847315018832,,0.8936000253143007,0.803180958339879,0.9690038347916692,0.8830712102519205,0.8851452127341651,0.9426324233484829,0.8303312076306866,0.8825046828870273
microsoft/deberta-base,0.7885812441556772,0.8344831686674328,0.7529124263876847,0.8818351378277486,,0.8049434749541642,0.8822489353556642,0.8858622026550793,0.8952543464204404,0.896877016208913,0.8264478105195191,0.8839097210257736
distilbert-base-multilingual-cased,0.7474976504201638,0.8395531377478826,0.8474849339019488,0.8280327681924031,0.833862872647538,,0.8310058570238898,0.8569339328482886,0.8506374780165942,0.8509584802450179,0.7970246251161338,0.8627114588957479
roberta-base,0.7885693237239317,0.8362347633144186,0.7507694935576092,0.9702957007806287,0.8945041553685127,0.8036321451696502,,0.8834362264151506,0.8874632010012298,0.9482442865787045,0.8270198805742768,0.8834436472165755
xlnet-base-cased,0.7434979447363208,0.7984405105058202,0.7169690894083744,0.8304007077777863,0.8421378486261514,0.7677430579804027,0.8258162141681565,,0.8416104440874373,0.840280108302126,0.7812496100431344,0.8530454484970162
google/electra-base-discriminator,0.6586318774094434,0.7662283324612331,0.6225625485121227,0.7785277265037494,0.7837120939608001,0.6728433159754807,0.7837178090625999,0.8286161334850618,,0.7811160815305123,0.6925872572815146,0.8144625838251185
distilroberta-base,0.7825220573298874,0.8386890013469441,0.7563946024990018,0.9301718469855591,0.8913982021483291,0.8134657020099478,0.9378422550331332,0.8833282347362996,0.874081867923879,,0.8257423818826654,0.8826461887789451
distilbert-base-uncased,0.9218468959265445,0.822930207770545,0.7617396345465564,0.8508660497833149,0.8614259341026766,0.8101796219726871,0.8496852046998276,0.8513508292470593,0.8863193937560788,0.863476906556462,,0.8851149349109454
albert-base-v2,0.744894308293595,0.82067250882685,0.7149376225874836,0.8312409998252063,0.8416035973582718,0.7755286469728393,0.8336651984639126,0.8722908194747586,0.8828034343920989,0.8438530917196986,0.7887891627347461,
