,bert-base-uncased,xlm-roberta-base,bert-base-multilingual-cased,allenai/longformer-base-4096,microsoft/deberta-base,distilbert-base-multilingual-cased,roberta-base,xlnet-base-cased,google/electra-base-discriminator,distilroberta-base,distilbert-base-uncased,albert-base-v2
train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
validation,-1.1884180288712458,-84.77684092922819,-0.6856204527800145,-0.09250576490834939,-0.35621122623026236,-0.4382306337141533,-7.098848629838699,-2.6255301204739436,-0.986338734651032,-221.314682648367,-0.2710460743548979,-0.2719047080774164
test,-1.1884180288712458,-84.77684092922819,-0.6856204527800145,-0.09250576490834939,-0.35621122623026236,-0.4382306337141533,-7.098848629838699,-2.6255301204739436,-0.986338734651032,-221.314682648367,-0.2710460743548979,-0.2719047080774164
