,bert-base-uncased,xlm-roberta-base,bert-base-multilingual-cased,allenai/longformer-base-4096,microsoft/deberta-base,distilbert-base-multilingual-cased,roberta-base,xlnet-base-cased,google/electra-base-discriminator,distilroberta-base,distilbert-base-uncased,albert-base-v2
bert-base-uncased,,0.9969269782371694,0.6096023277105628,0.9799103432407997,0.9130977487263608,0.753756018924288,0.9731143769499625,0.9696970670857283,0.8883188774674197,0.986723650147445,0.9167872797597452,0.8695091761198412
xlm-roberta-base,0.6486340002776938,,0.5839427654871252,0.9796813611357158,0.911370935347244,0.7421192254338023,0.9729368811628891,0.9692783556100487,0.8629254225324408,0.9869497888348742,0.7742444446642014,0.856652764439607
bert-base-multilingual-cased,0.6728262770412543,0.9969678753546467,,0.9788548583502744,0.9089757748832108,0.8708891977639258,0.9716806312225436,0.9696095246406071,0.8677563007285536,0.9860521958629431,0.7950666090216688,0.8528736642686765
allenai/longformer-base-4096,0.687634081438534,0.9971764986456844,0.6079946357233776,,0.9380027250469822,0.7583902597593788,0.9930061954744018,0.9707887458946245,0.873121481428794,0.9951937059858387,0.8087911145530545,0.8659475798440014
microsoft/deberta-base,0.6773164186378045,0.997118604654949,0.5997084297740957,0.9854144175502114,,0.7514420089018268,0.9797639760252338,0.9706649482124083,0.8710465906198483,0.991294330597919,0.7997988348211222,0.863454455988025
distilbert-base-multilingual-cased,0.693430371187101,0.9972316324973345,0.7797422691604758,0.9808227874588884,0.9175090163265603,,0.9740568226314609,0.9706402006704972,0.8721549074394472,0.987651698744947,0.8177635543518368,0.8662781104257249
roberta-base,0.6809812809619051,0.9971292400960522,0.5998246575063781,0.9949658695549888,0.9355788057950851,0.7504803887483305,,0.9703019654494258,0.871609198569652,0.9952335701269461,0.8027794448403504,0.863294056328911
xlnet-base-cased,0.6120518661443014,0.9965036499165725,0.5333083576835594,0.9757212402010229,0.8952773658265004,0.6825112670654119,0.967747636625082,,0.856998126686674,0.9837813893532115,0.738788799894187,0.8415361052403463
google/electra-base-discriminator,0.6738428575094068,0.9968556091980111,0.5617073733243237,0.9784313293944666,0.9048723066948601,0.7062494058030109,0.9712592483474405,0.9700754981004612,,0.9856301144100742,0.789178676212909,0.8658735890037239
distilroberta-base,0.6905071933798959,0.9972577245100069,0.6151937455982618,0.9922733580785267,0.9422413327443915,0.7676015151168175,0.9893008648209407,0.971190128799261,0.8743224865195444,,0.8126089419382193,0.8711529102423708
distilbert-base-uncased,0.8566713892206393,0.9971008702819253,0.6361421234666498,0.9816512357295077,0.9196999626028582,0.7819662366241859,0.9751653653218021,0.9707962512966795,0.8952344512242449,0.9880804829894326,,0.8816411441661389
albert-base-v2,0.6816186255757462,0.9970544957300211,0.584338754838122,0.9794517872163746,0.9114267202506594,0.7352367513774714,0.972648650967945,0.9715425246237865,0.8795119311611561,0.9866847462639187,0.8036763365223503,
