,bert-base-uncased,xlm-roberta-base,bert-base-multilingual-cased,allenai/longformer-base-4096,microsoft/deberta-base,distilbert-base-multilingual-cased,roberta-base,xlnet-base-cased,google/electra-base-discriminator,distilroberta-base,distilbert-base-uncased,albert-base-v2
bert-base-uncased,,0.6471572832415534,0.5679150417585074,0.7086795437751396,0.7378168677796071,0.6713479811743572,0.6958749313883021,0.588104863325437,0.7375679694432808,0.7264240381323572,0.9044196203215228,0.7503328361655207
xlm-roberta-base,0.55287054942377,,0.5541832905187345,0.7105388936137582,0.723971648642852,0.6842726026027641,0.7024794330971597,0.6179679552962409,0.6846529017170288,0.7495863528406819,0.6265268355333049,0.7445823462505559
bert-base-multilingual-cased,0.5660862319742817,0.6480134780794731,,0.6693127217687123,0.68875322556659,0.8153282664747883,0.6561322617648975,0.5932665412520912,0.6710562089180674,0.6970433025442002,0.6394314776331409,0.7030054708330203
allenai/longformer-base-4096,0.6365979105309345,0.6947805187301097,0.5765968779628461,,0.8154492215669995,0.6956378378271129,0.9450894196390588,0.634147637443272,0.7249795272761201,0.8971668145155308,0.7107225319291404,0.765549956622009
microsoft/deberta-base,0.6409545479621411,0.69379123121817,0.5826596394860281,0.7930571143751438,,0.7009534154452777,0.781817072202218,0.6394044528400038,0.7363286872244248,0.8205531895392923,0.7134338231528574,0.7683124967958309
distilbert-base-multilingual-cased,0.5846002524377505,0.6897309975484776,0.7415986048349257,0.6982528851717336,0.7158597363349194,,0.6865843531432241,0.6077602516730878,0.6829924521409754,0.736070084041557,0.6688340054345671,0.7353940313235593
roberta-base,0.6277257224644777,0.6929331626733313,0.5690071170669948,0.9466206630928065,0.8099398641544177,0.6897838313652767,,0.6324583798968668,0.7213891574469099,0.9002120646053154,0.7021162043973248,0.7635743007559256
xlnet-base-cased,0.5201988797417674,0.6029595706391673,0.4974119317198644,0.654647775516037,0.6782798398071348,0.6068334181471267,0.6444653670031045,,0.6301436415938251,0.6827240614654149,0.5884509096565795,0.6808388305945388
google/electra-base-discriminator,0.4806082635797755,0.5938741144950324,0.4324741193171986,0.6350786037197889,0.6334095836226037,0.5223312316938291,0.6243162396794282,0.5848674223361767,,0.6473391171870337,0.5329680960802501,0.6865891963169045
distilroberta-base,0.6197615623164354,0.7058255748978949,0.5806931924524271,0.8734358770364381,0.8094945435332854,0.708807454515638,0.8740015953959756,0.637729678843917,0.7115293447338695,,0.6992928882794863,0.7708721311012843
distilbert-base-uncased,0.8720586250640594,0.6722727481998435,0.5948746682622519,0.7326037258886433,0.7592919484327838,0.7075418038259116,0.7199900077728176,0.6042572212820164,0.750750368757184,0.7565584694342119,,0.7754659408255052
albert-base-v2,0.577041427434528,0.6697125507551515,0.5331266064258262,0.7008576218725819,0.7168019231214742,0.6549810469423858,0.6915454954045426,0.6204950538027145,0.7276471107899444,0.7324661386043427,0.6529750346446912,
