,bert-base-uncased,xlm-roberta-base,bert-base-multilingual-cased,allenai/longformer-base-4096,microsoft/deberta-base,distilbert-base-multilingual-cased,roberta-base,xlnet-base-cased,google/electra-base-discriminator,distilroberta-base,distilbert-base-uncased,albert-base-v2
bert-base-uncased,,0.5741256253990195,0.5094463357325384,0.6468840165640233,0.6709486019765527,0.6121338393573776,0.6291628103941433,0.29493340213058383,0.6270921507653502,0.6663601816907702,0.8781690123122853,0.6886372100084244
xlm-roberta-base,0.49629857660658405,,0.4954570694987167,0.649851281807087,0.6549285476269939,0.6277164951345142,0.6361552779947928,0.30959566394674,0.5578746521124804,0.6930874478044922,0.5771156027376221,0.6828377742959115
bert-base-multilingual-cased,0.50913223599521,0.576527207928743,,0.6030463640981143,0.6137554741881974,0.7837535761041726,0.5834919714955729,0.29244948653202496,0.5380180994448575,0.6317182395748439,0.5901602460963363,0.6333088069342732
allenai/longformer-base-4096,0.5771637815397357,0.6304256040131995,0.516988779612856,,0.7676240319950576,0.6373455606996519,0.9307033570037183,0.32806809101328305,0.6040430208547112,0.8737358187856474,0.6603541864270344,0.7060607823714604
microsoft/deberta-base,0.5854120662349701,0.6281701387102516,0.5228558290860841,0.7498896628290054,,0.6432365264605995,0.7332669853855043,0.3267375491436112,0.612747584340174,0.7814070904158773,0.6670387244216551,0.7072231806442953
distilbert-base-multilingual-cased,0.5318213449703898,0.6251869425580647,0.7101591217237653,0.6383651051476864,0.6486313608598291,,0.6191354145888428,0.3084796416454719,0.5567806002562812,0.677937844802529,0.6258261606107532,0.6746705317844013
roberta-base,0.5674063129920736,0.6268431124300022,0.5077866960232824,0.931450668151644,0.7594462854278285,0.6285753291175686,,0.3191298669869087,0.5995662493080856,0.8758677210326506,0.6500156513477207,0.7021389333210899
xlnet-base-cased,0.3968770519919116,0.5008003703382763,0.39174153950995716,0.5425043914414509,0.5434555567080943,0.49296541766205015,0.5260878501528374,,0.47055725582530783,0.5732900727812176,0.4629819649065612,0.5697611796313995
google/electra-base-discriminator,0.4478513824450868,0.5286492449946336,0.38951625182193117,0.5836717300515686,0.5688033845610403,0.4764652425543102,0.5648847923557462,0.2856592892269898,,0.5979340931247816,0.5045421380065703,0.6372886626555427
distilroberta-base,0.5653708590279368,0.6453658415959334,0.5242872610917781,0.8497194503820025,0.7647062524420367,0.654198394990394,0.8459679989025874,0.33339770138035896,0.5926466751547234,,0.6536714749641757,0.7153318227850907
distilbert-base-uncased,0.8398374459022122,0.6047617555735942,0.5413707137624203,0.6770319896227945,0.6985590605992821,0.6557037890455428,0.6587035959831247,0.3126169743517153,0.6476029183231548,0.7036599318709515,,0.7216131668370365
albert-base-v2,0.5290193100628278,0.6042254859668261,0.4772783212605265,0.6443292646363745,0.6486791176936364,0.5993235100359239,0.6283984851590665,0.3194139752786517,0.6129442801367557,0.6795545151602492,0.6124823313494222,
