,bert-base-uncased,xlm-roberta-base,bert-base-multilingual-cased,allenai/longformer-base-4096,microsoft/deberta-base,distilbert-base-multilingual-cased,roberta-base,xlnet-base-cased,google/electra-base-discriminator,distilroberta-base,distilbert-base-uncased,albert-base-v2
train,0.8870040894496534,0.8029521346132298,0.8362269454996714,0.9588534792322209,0.8736932886557227,0.8996999177045056,0.956403846503622,0.638407336805358,0.7938587953597368,0.9397635540953032,0.927499601857565,0.85941767507805
validation,0.664792259030801,0.3606679378358808,0.5242699852622976,0.8733178918143409,0.6167711121694757,0.7165664630761774,0.8643200596344204,-0.1004873375395603,0.3675160813734357,0.8086500038171831,0.788889036298645,0.5573844437401372
test,0.6342679890171847,0.3864833209533103,0.4665274626627969,0.8666426946011242,0.590933519130158,0.6776939178726751,0.8577219940313966,-0.14685606259485562,0.3492097711168606,0.8072998092277895,0.7624254348734933,0.5456293808289507
