,bert-base-uncased,xlm-roberta-base,bert-base-multilingual-cased,allenai/longformer-base-4096,microsoft/deberta-base,distilbert-base-multilingual-cased,roberta-base,xlnet-base-cased,google/electra-base-discriminator,distilroberta-base,distilbert-base-uncased,albert-base-v2
bert-base-uncased,,0.9955142889199551,0.7060996736988415,0.9848284975117217,0.9332470344202498,0.815620442394791,0.9814952558104862,0.9713102790079147,0.8342158565247344,0.9918110845244802,0.9463990375248365,0.8637081164541891
xlm-roberta-base,0.7741695139365341,,0.6524290735968838,0.984149730843066,0.932539613708869,0.7773730039918614,0.9808719462772398,0.9682099921978615,0.7878166079487627,0.9916374200268693,0.8683809980977824,0.8268835041326481
bert-base-multilingual-cased,0.8058788795202314,0.9956182298626066,,0.9844374145762945,0.9327298828098178,0.8963398709847822,0.9809732113486541,0.9702685434903051,0.8116598851722949,0.9915724445606253,0.8920800049189199,0.8398454129984764
allenai/longformer-base-4096,0.8020803066058857,0.9957651614305756,0.6919798897134817,,0.9587368058793921,0.807828041137796,0.9926492808979867,0.9712519217194928,0.8078128837146331,0.9973802653056751,0.8898586492003226,0.8472260003683947
microsoft/deberta-base,0.7924267416340751,0.9958329721478243,0.6790581698645151,0.9896401118038881,,0.7921154032882869,0.9870470827768401,0.9711178069011288,0.8061585464553362,0.9951104750754086,0.8802297142925293,0.8461683015704754
distilbert-base-multilingual-cased,0.8207138616050983,0.9959467841090174,0.8180058016503576,0.9857936075503135,0.9378199227190845,,0.9825397644699253,0.9723561566990423,0.8198894816438393,0.9924698770886388,0.9074844723010165,0.8561525314528128
roberta-base,0.7972243492128042,0.9957314898537025,0.6835871062851919,0.9944383806248518,0.9567089282057131,0.799305737069291,,0.971041271185072,0.8053161733835991,0.997294945032761,0.8851588642600792,0.8449059475407623
xlnet-base-cased,0.7827979782334544,0.9950490653364258,0.6572373633314603,0.9826969479943696,0.9285400516718723,0.7691063042094182,0.9794331950677903,,0.8040462607963283,0.990503081248878,0.8725738540784503,0.8628652764240833
google/electra-base-discriminator,0.8129735093234883,0.995575405598835,0.6785516241408303,0.9839866647652601,0.9317615949734863,0.7835753301745296,0.9806742259248107,0.971680295388421,,0.991346508797499,0.8936259598860982,0.8604687796703071
distilroberta-base,0.8070872426935592,0.9959716217126903,0.6982802965139786,0.9947638011806224,0.9628521616623845,0.8154118939925756,0.9928813704557726,0.9723190972528802,0.811985008249264,,0.8941721051237208,0.855107463183914
distilbert-base-uncased,0.8964637414021607,0.9957533718256172,0.730406412548198,0.9859216717283108,0.9374234124512852,0.8436468073207936,0.9826892342871684,0.9733900703345065,0.848118279455083,0.9925096367883008,,0.8770657268333225
albert-base-v2,0.8081818643301623,0.9956250920136954,0.6722412458484952,0.9838759266113857,0.9322150598370312,0.7876705308328562,0.9806902884497506,0.9751509276405376,0.8198877519250063,0.9914629905332071,0.8935056565754168,
