,bert-base-uncased,xlm-roberta-base,bert-base-multilingual-cased,allenai/longformer-base-4096,microsoft/deberta-base,distilbert-base-multilingual-cased,roberta-base,xlnet-base-cased,google/electra-base-discriminator,distilroberta-base,distilbert-base-uncased,albert-base-v2
bert-base-uncased,,0.9990699867277099,0.8338525491354789,0.990963797072118,0.9741208834219686,0.9024658633868127,0.9902388085308118,0.9717359274383003,0.9842535234527582,0.9937126498247661,0.971950805347262,0.9561557948719867
xlm-roberta-base,0.8427254067649755,,0.8272063906008736,0.9910394229878359,0.9727128000140958,0.9051729841564154,0.9904501625650988,0.9735327531997938,0.9811039098005815,0.9942480068766639,0.8905955381007354,0.954575299576749
bert-base-multilingual-cased,0.8477697915259561,0.9990440319675176,,0.9896547183535371,0.9690055402165408,0.9444927279979657,0.9888552473405822,0.9720082856417163,0.9801788852597114,0.9929339305953871,0.8948287138511091,0.9473176869514149
allenai/longformer-base-4096,0.871843267695955,0.9991692158859425,0.8359464697429222,,0.9817387146556416,0.9086525827171286,0.9982134433205472,0.974634343514086,0.9833510518803208,0.9976153803994678,0.9147949109176237,0.9583529918398417
microsoft/deberta-base,0.87388715878781,0.9991644113357269,0.8385073455654153,0.9936074264253243,,0.910497448818252,0.9930016319820469,0.9749944505066326,0.9839693218745478,0.9958835884775495,0.9160282536630011,0.9588478101486708
distilbert-base-multilingual-cased,0.855049075666758,0.9991770768950206,0.899985940135667,0.9905965988889353,0.9718433435165927,,0.9898816786886231,0.9730057793223317,0.9809712374623596,0.9938764801167674,0.9041282481266227,0.9532862311589744
roberta-base,0.8686760820156167,0.9991626712227307,0.8329484534684508,0.9983260915194156,0.9811724486780937,0.9068606163443995,,0.9744178528940663,0.9831645777223581,0.9976877825130852,0.9122073920109518,0.9579633456836073
xlnet-base-cased,0.8298280885443186,0.9989274458096135,0.8045022254909623,0.9892091789815289,0.967917561728537,0.8812234533596957,0.9884894980038322,,0.9776322858334423,0.9926269986558425,0.878173447264249,0.943121901131724
google/electra-base-discriminator,0.8166907048528045,0.9989364480562338,0.7806626549662903,0.9887322794605397,0.9637258696562553,0.8568580647264774,0.9879814920561779,0.9714845319610063,,0.9919007160725815,0.862758285756525,0.9448494728533996
distilroberta-base,0.8659309279860538,0.9992013001854373,0.8374638467003747,0.996041585909112,0.9810602435213396,0.9125919495691255,0.9959153814682391,0.9748486045252217,0.9825348239730529,,0.9114622174707498,0.9592358431633659
distilbert-base-uncased,0.9548761622106225,0.9991407435384454,0.8442236439100268,0.9917106399347625,0.9762283908592613,0.9132758704070332,0.9910134146630162,0.9729522278277126,0.9850442396395961,0.994405630651357,,0.9605779909514449
albert-base-v2,0.8511631672875914,0.9991264677637872,0.8193320636633512,0.9907225229971652,0.9719326001705987,0.8966689882028017,0.9901005362933347,0.9737449497000236,0.9836796648006761,0.9938386266800396,0.8982832573230954,
