,bert-base-uncased,xlm-roberta-base,bert-base-multilingual-cased,allenai/longformer-base-4096,microsoft/deberta-base,distilbert-base-multilingual-cased,roberta-base,xlnet-base-cased,google/electra-base-discriminator,distilroberta-base,distilbert-base-uncased,albert-base-v2
bert-base-uncased,,0.9996755534355175,0.9705834541812799,0.9961462197716469,0.9897653114643583,0.9790717904062056,0.9961889753565406,0.9929634875789973,0.9951273609416604,0.997412881919878,0.9905202413231327,0.9847082563727089
xlm-roberta-base,0.9441686442450861,,0.9700249689058307,0.9960965002776812,0.9893400929002684,0.9804823481718875,0.9962381475581017,0.994386078968033,0.9939756914935208,0.9975301798078567,0.9652294909575169,0.9842969902581621
bert-base-multilingual-cased,0.9522552903753241,0.9997186633277811,,0.9960471265721665,0.989315003467583,0.9900155748525611,0.9961483216120897,0.9941553269012441,0.9942716012573487,0.9974546919702304,0.9708521161380245,0.9840206493679204
allenai/longformer-base-4096,0.9565099169154101,0.9996949088427325,0.9712340537184995,,0.9926579008665062,0.9803200131747735,0.9992682547314623,0.9946975431907289,0.9950285123949952,0.9990236681119125,0.9734093518381339,0.9857183775313526
microsoft/deberta-base,0.9557527371516326,0.9996926039750686,0.971330453394624,0.9971666666809155,,0.9805058888849338,0.9972262793130959,0.9947953413739409,0.9954350830766173,0.9982441424212184,0.9728377895272844,0.9859463155674861
distilbert-base-multilingual-cased,0.9474378976583446,0.9997301660899929,0.9823596690131986,0.9958580383024539,0.9885365893724527,,0.9959996822062556,0.9935359543268777,0.9936428924490145,0.997435171521678,0.9684753943063806,0.9834442872623474
roberta-base,0.9556776028068076,0.9996987245358184,0.9710876464681542,0.9992871895017411,0.9927319588538043,0.9803511097966876,,0.9947331458885471,0.9951419133889791,0.9991172879997261,0.9729198318147068,0.9858342164240056
xlnet-base-cased,0.9460146766900334,0.999612920651506,0.9670027524097982,0.9958850838446464,0.9890226992696699,0.9767387270979047,0.9958397355323626,,0.9931789105739579,0.9972232107122425,0.9656709774354977,0.9821493048074617
google/electra-base-discriminator,0.9283820973687348,0.9995994005232604,0.9562359644374835,0.9946684527507821,0.9850596173148755,0.9673719556991484,0.99489029905071,0.9923266666035704,,0.9962488957983825,0.9518682663440988,0.9775610720095094
distilroberta-base,0.9544245444021626,0.9997055971691319,0.9717090481596415,0.9983303959584013,0.9925221670488414,0.9813177539562619,0.9985330348047092,0.9946376832356091,0.9945434585146725,,0.972750300673784,0.9857669437159272
distilbert-base-uncased,0.9834969778257994,0.9996953849485851,0.972458107029497,0.9964016448458938,0.990426144428785,0.9811280026087088,0.996444634976989,0.9934194672932525,0.9951498574172523,0.9976529725551669,,0.9861338111653412
albert-base-v2,0.9464661474707644,0.9996972430456037,0.9669270794114964,0.9959298600140872,0.9890457241320196,0.9776136143981711,0.9960570528260435,0.9942426208537672,0.9949774807359604,0.9973179671657877,0.9669277298439216,
