,bert-base-uncased,xlm-roberta-base,bert-base-multilingual-cased,allenai/longformer-base-4096,microsoft/deberta-base,distilbert-base-multilingual-cased,roberta-base,xlnet-base-cased,google/electra-base-discriminator,distilroberta-base,distilbert-base-uncased,albert-base-v2
train,0.9630645177568,0.940334103060982,0.9183608483893198,0.9880991346088798,0.963307685622568,0.9547498384067156,0.9880230241959013,0.9525088297415263,0.9574377946457314,0.9786085138420422,0.9764662775628435,0.956626313997571
validation,0.874845322970939,0.7848290420488369,0.7407999229372731,0.9601411347916258,0.8725356689734027,0.8489910530821361,0.9603592993491666,0.8795310678291901,0.8732664360970973,0.9283270124741676,0.9186005519565521,0.8513125983529458
test,0.8714520432112522,0.7720751998376734,0.728300477258097,0.9588981077709937,0.8738333610954273,0.8473344791495363,0.9592143958087845,0.8263727934117331,0.8361945224175578,0.9252532398590871,0.9183482980202325,0.8465933969401965
