,bert-base-uncased,xlm-roberta-base,bert-base-multilingual-cased,allenai/longformer-base-4096,microsoft/deberta-base,distilbert-base-multilingual-cased,roberta-base,xlnet-base-cased,google/electra-base-discriminator,distilroberta-base,distilbert-base-uncased,albert-base-v2
train,0.9669338921610823,0.9516601456660668,0.9383956884909359,0.9876986399543207,0.9685707087261015,0.9618206009204416,0.9888581171483714,0.963992546066194,0.9673416266543022,0.9821178522010536,0.9781957018460998,0.9649016547491059
validation,0.886751660517964,0.8151958908603888,0.8019163256699303,0.9582664266087464,0.8899255636320337,0.8685751022562025,0.9608375851911342,0.8974848394129803,0.8948813202052166,0.9378716519553871,0.9235979049557324,0.8752200983390936
test,0.8850030398471556,0.8068390762494839,0.7961150677598767,0.9562806141944173,0.8890398423574132,0.8656058026193978,0.9600890613064972,0.8628643863879594,0.8693433698411501,0.9362486540076014,0.923176932051431,0.8726729310509173
