,bert-base-uncased,xlm-roberta-base,bert-base-multilingual-cased,allenai/longformer-base-4096,microsoft/deberta-base,distilbert-base-multilingual-cased,roberta-base,xlnet-base-cased,google/electra-base-discriminator,distilroberta-base,distilbert-base-uncased,albert-base-v2
bert-base-uncased,,0.46123214779490906,0.41110019426171696,0.5389335792644829,0.5420512876497352,0.5193721188672418,0.5181392392744321,0.2231756585288508,0.5061951649444878,0.566676136221318,0.8260939614333824,0.5862718145784949
xlm-roberta-base,0.3718044141682342,,0.38842970087754003,0.5446882898446048,0.5241172006636621,0.5258691843587304,0.5265133400726805,0.24189419158369285,0.4101478674936424,0.5956407886211716,0.46227057104395364,0.5725779467148017
bert-base-multilingual-cased,0.4002583300513983,0.47229794118481694,,0.501517361480906,0.49244714426414893,0.7449232748762384,0.47779129174079793,0.22310848332098088,0.40185290173294297,0.5365310683494504,0.4925464072538521,0.5257101912790338
allenai/longformer-base-4096,0.4541106049699746,0.5268605526734504,0.41673527057073023,,0.673699956942964,0.5443457858330218,0.9035406426462754,0.2604065088540152,0.46205829357617567,0.8413599202386578,0.5528809861574309,0.6016450895456544
microsoft/deberta-base,0.4581086996190791,0.5210713517355435,0.41968677215269024,0.6732103864876804,,0.5477395424611026,0.6498725576982756,0.255201035426147,0.46186133014357134,0.7180382961731588,0.5563110637136788,0.5991757304085377
distilbert-base-multilingual-cased,0.43160261619739604,0.5276427054509074,0.6666316863441304,0.5481345013871086,0.5414432456000031,,0.5237685250142676,0.24828662874461438,0.42431176237902324,0.5933225654547307,0.5412853805830098,0.5761088702542249
roberta-base,0.4440151768027478,0.5212933390924108,0.4062917861483586,0.9067842578183894,0.6618194222302368,0.532358181856756,,0.25201101996172826,0.45834284869997055,0.8425144266334251,0.5407417156091736,0.5958212003083663
xlnet-base-cased,0.25215784850880485,0.37992591677231213,0.26586283891095464,0.40227029151201255,0.374099292285324,0.357222064348523,0.3803816356763038,,0.3262396942525496,0.4374813183289945,0.31536943218122715,0.4440255747017461
google/electra-base-discriminator,0.36435197135970065,0.43820861070066497,0.307238956541108,0.4912653918735964,0.45198535246245297,0.3953626966461351,0.4683472363251888,0.22704978187221536,,0.516089302144614,0.4316488824047695,0.5528922153756815
distilroberta-base,0.45082188225461606,0.5456164220158664,0.4278049204631229,0.8159261362035289,0.6821378236942213,0.5643083025330213,0.806663406021393,0.2705910671901357,0.4592692511358647,,0.554498798444902,0.6168321362545627
distilbert-base-uncased,0.7778297484538333,0.49827722632448335,0.45070659071748476,0.5808042343609439,0.5817938029544412,0.5741795522980783,0.5580504961218677,0.24501935170477762,0.5355341106614849,0.615648388617164,,0.6302775259261102
albert-base-v2,0.41910487303058663,0.5008188207002097,0.3754276978559009,0.5405470129215162,0.52306260873146,0.4986689902487841,0.5198578050373666,0.2626390254470984,0.47908916687709135,0.5835865708634397,0.5166955321314471,
