,bert-base-uncased,xlm-roberta-base,bert-base-multilingual-cased,allenai/longformer-base-4096,microsoft/deberta-base,distilbert-base-multilingual-cased,roberta-base,xlnet-base-cased,google/electra-base-discriminator,distilroberta-base,distilbert-base-uncased,albert-base-v2
bert-base-uncased,,0.791251769446458,0.7279731760536313,0.8292513727542103,0.8406840820757406,0.7753684203313865,0.8271849816148851,0.8232140503211759,0.8713550775754968,0.8391332904416803,0.9343639357766897,0.8641289472083297
xlm-roberta-base,0.7124703936018161,,0.7223235849602978,0.826823690591076,0.8338972682343243,0.7897761361047065,0.8303751006769217,0.8609824303136699,0.8428127834991637,0.846434929973265,0.7591800644220958,0.8594004540165732
bert-base-multilingual-cased,0.7554555407043949,0.8198297698623889,,0.8255190007778342,0.8346360196887842,0.8926937964320575,0.8267755819473135,0.8551496313688514,0.8514410360627812,0.8427608043073886,0.7988049151618507,0.8577700957921046
allenai/longformer-base-4096,0.7781965975700943,0.8174788340523224,0.7350898838754709,,0.8853520823600194,0.7896595151996263,0.9661222590010594,0.8686855341352133,0.872045518647733,0.9388292407547746,0.8175482826161735,0.8731493504803683
microsoft/deberta-base,0.7739543020505734,0.8181161755032033,0.7363408983385746,0.8739028106555492,,0.791666244253816,0.8743000744056236,0.8731992108626,0.882832464632952,0.8901439736301524,0.8132708927755251,0.8749360509994772
distilbert-base-multilingual-cased,0.7314122223529761,0.8244352699545074,0.8365993631352946,0.8170746474395275,0.8227281390879313,,0.8203121063188177,0.8404436309935517,0.8342731760153581,0.8413471831147636,0.7834387828471248,0.8525614624978574
roberta-base,0.7736873047916075,0.8194106768916494,0.7337162688667573,0.9678075701868268,0.8864580145215749,0.7899127881184832,,0.8696782173419476,0.8747573426925417,0.9447622562065111,0.8139375165895899,0.8739598688665805
xlnet-base-cased,0.7280103398690911,0.7767958686556697,0.6988431124818637,0.8191787624104812,0.8315481821804158,0.753535997580326,0.8129981355259203,,0.8255454190057105,0.8298533636982531,0.7670274603052769,0.8425398136921167
google/electra-base-discriminator,0.6378334530660822,0.7448456981897204,0.6003092937230777,0.7650760221437836,0.7697362644683857,0.6531861034026107,0.77082427487114,0.8111657281589534,,0.7678470066219082,0.672891243992081,0.8013097514674781
distilroberta-base,0.7679649217589579,0.8230448872912735,0.7400325474362571,0.9255961133872045,0.8834237147789707,0.8008711679492753,0.93336949463771,0.8688105694164865,0.8597686474395229,,0.8131330563812842,0.8736909225780244
distilbert-base-uncased,0.9153954716576298,0.8053705966313132,0.7448875619490027,0.8405010307161848,0.8506582629865493,0.7970772479955432,0.8387084193096284,0.8338510052448909,0.8722031445496108,0.8538114007161943,,0.8762678987877164
albert-base-v2,0.7282914013937292,0.804101919331577,0.6961032159326555,0.8198537122475041,0.8303312366400524,0.7605960894381663,0.8216071292567806,0.857551374961617,0.8700129461255102,0.8334211630675459,0.7742323303824,
