,bert-base-uncased,xlm-roberta-base,bert-base-multilingual-cased,allenai/longformer-base-4096,microsoft/deberta-base,distilbert-base-multilingual-cased,roberta-base,xlnet-base-cased,google/electra-base-discriminator,distilroberta-base,distilbert-base-uncased,albert-base-v2
train,0.9403236076340125,0.8899813940478042,0.8821559100195273,0.9763855104324137,0.9375885816599329,0.9326670320619033,0.9760389576980512,0.8285005474644359,0.9030271482679477,0.963148608212729,0.9627531889835533,0.9237719935750088
validation,0.8111195260516516,0.6345727527458946,0.6380846084351,0.926700656350296,0.806106545687016,0.795581528504662,0.9257024937119965,0.5189996099013656,0.7053451302206111,0.8814560963496922,0.8831966979001237,0.7557089730732648
test,0.80054997040518,0.6658460074614609,0.6253454476918784,0.9265005796524903,0.7974735706790437,0.7867295471885328,0.9252788105662114,0.5124814868763587,0.7135463712352644,0.8839922038632916,0.8749789479357188,0.7526698088072084
