,bert-base-uncased,xlm-roberta-base,bert-base-multilingual-cased,allenai/longformer-base-4096,microsoft/deberta-base,distilbert-base-multilingual-cased,roberta-base,xlnet-base-cased,google/electra-base-discriminator,distilroberta-base,distilbert-base-uncased,albert-base-v2
bert-base-uncased,,0.6626553464663949,0.5869375168627897,0.7224713980871609,0.7527057290144563,0.6874887226427708,0.7101367315438768,0.5774744146561588,0.7387734239441379,0.7391359042477422,0.909359719878306,0.7617615865257449
xlm-roberta-base,0.5809688384115934,,0.5731929668895822,0.7211584536294557,0.73742411553617,0.6989739687576881,0.713307683620073,0.6067086314457052,0.6851410903574913,0.7582117051508503,0.651914691246904,0.7555585246018376
bert-base-multilingual-cased,0.5912398824910274,0.6617666152772079,,0.680874193336817,0.7016749872447737,0.8214703732969196,0.6678693169697199,0.5842198716100344,0.6706367005271885,0.7065534101592548,0.6626061734318422,0.7144359196320321
allenai/longformer-base-4096,0.6603681314580747,0.7066903434651965,0.593082375634296,,0.8248329377386658,0.7080698995858795,0.9461332367077012,0.6251794201336136,0.7254163966916949,0.8998327519752524,0.7311522703129569,0.7755023253404746
microsoft/deberta-base,0.6649101721248635,0.7065967387127734,0.5988889044051917,0.8014641568447831,,0.713465682979796,0.7906634541781175,0.6316795298325961,0.7366505316918854,0.8271261265111156,0.734245216856086,0.7783791302620783
distilbert-base-multilingual-cased,0.6091513843941028,0.7021220846247351,0.7500914865089625,0.7085801124149612,0.727421689303388,,0.6969698703710675,0.5971613069673561,0.6826184523838674,0.7443213868550753,0.6908013581479351,0.7463979980034796
roberta-base,0.6520268601629657,0.70482101094546,0.5855687999136339,0.9478726173733907,0.8196438590130438,0.7023294588853699,,0.6236809657557436,0.7216721641129855,0.9026338206769987,0.7230211613329466,0.7735684068774213
xlnet-base-cased,0.5483234278425706,0.6200199878590075,0.5175726158499392,0.6692879188143637,0.693934121234925,0.6235666013687743,0.6592268694550063,,0.6303487249764341,0.6951590291824544,0.614528111643319,0.6924693674283147
google/electra-base-discriminator,0.5107704911359428,0.6052560064280832,0.45619000226120276,0.6504630674955685,0.6519596852655523,0.5438452127995212,0.6395763530725695,0.5725794137259189,,0.6605403870260107,0.5621124273265947,0.6991305144273683
distilroberta-base,0.6446198259076076,0.7179505711656631,0.5968564626803972,0.8768596462509113,0.8187911386490054,0.7210889327516787,0.877416970974664,0.629909896009861,0.7112798399973768,,0.7206318233657456,0.7810272374550586
distilbert-base-uncased,0.8779489952033,0.6869574722836457,0.6127569432620723,0.7449547487310937,0.7727365143162955,0.7220542878240346,0.7328910389137773,0.5941382147225964,0.7514166100455602,0.7676876341367292,,0.785849965299449
albert-base-v2,0.6034326257013563,0.6821119968977445,0.5532156970797542,0.7135529673879775,0.730987863356518,0.6717570308672567,0.7041955602404346,0.607027657820863,0.7279152665762858,0.7435222939992213,0.6768768999960132,
