,bert-base-uncased,xlm-roberta-base,bert-base-multilingual-cased,allenai/longformer-base-4096,microsoft/deberta-base,distilbert-base-multilingual-cased,roberta-base,xlnet-base-cased,google/electra-base-discriminator,distilroberta-base,distilbert-base-uncased,albert-base-v2
bert-base-uncased,,0.9999999999621749,0.9999999997081572,0.9999999999714632,0.9999999993090338,0.9999999997053359,0.9999999998767022,0.999999999462665,0.999999999771946,0.9999999998246439,0.9999999996331821,0.9999999999187693
xlm-roberta-base,0.9999999999845776,,0.999999999986928,0.9999999999406386,0.9999999999862909,0.9999999999768233,0.999999999997684,0.99999999998535,0.9999999999863164,0.999999999999026,0.999999999985783,0.999999999993395
bert-base-multilingual-cased,0.999999998977996,0.9999999926974316,,0.9999999996415025,0.9999999985249365,0.999999998109217,0.9999999948563469,0.9999999991876305,0.999999998830741,0.9999999956513045,0.9999999992257994,0.9999999998259723
allenai/longformer-base-4096,0.999999999932376,0.9999999972759772,0.9999999999351448,,0.9999999999753787,0.9999999999484841,0.9999999998997563,0.9999999999842667,0.9999999999494416,0.999999999983161,0.9999999999186416,0.9999999999887367
microsoft/deberta-base,0.9999999999789297,0.9999999999985918,0.9999999999752044,0.9999999999984902,,0.9999999999776149,0.9999999999895014,0.9999999999839624,0.9999999999811902,0.9999999999954666,0.999999999982692,0.9999999999829459
distilbert-base-multilingual-cased,0.999999999865565,0.9999999999018142,0.9999999998857826,0.999999999996151,0.9999999998850535,,0.9999999999948833,0.9999999998080958,0.9999999997419271,0.9999999999867228,0.9999999998441184,0.9999999997808623
roberta-base,0.9999999997226169,0.9999999999989836,0.9999999999258984,0.999999999983477,0.999999999949972,0.9999999998820498,,0.9999999998846267,0.9999999999433831,0.9999999999988747,0.999999999888228,0.9999999999593584
xlnet-base-cased,0.9999999999456717,0.9999999999564082,0.9999999999467551,0.9999999998631872,0.9999999998576308,0.9999999999466345,0.9999999999723526,,0.999999999937879,0.9999999999620568,0.9999999999721741,0.999999999962604
google/electra-base-discriminator,0.9999999997760395,0.9999999999920276,0.9999999997995708,0.9999999999312601,0.9999999999352468,0.9999999997918794,0.9999999997279875,0.9999999999162726,,0.9999999999802065,0.9999999997382483,0.9999999999492748
distilroberta-base,0.9999999994197147,0.9999999999731429,0.9999999993204737,0.9999999990906862,0.9999999994342542,0.9999999993478708,0.9999999999803689,0.9999999998198094,0.9999999991694256,,0.9999999995240904,0.999999999560035
distilbert-base-uncased,0.9999999997913546,0.9999999999911162,0.9999999998287632,0.9999999999970075,0.999999999830704,0.9999999997953257,0.9999999996925601,0.9999999999166399,0.9999999997722409,0.9999999983369983,,0.9999999998233232
albert-base-v2,0.9999999992422282,0.9999999998975616,0.9999999991345128,0.9999999995623837,0.9999999989758432,0.999999999247657,0.9999999998933813,0.9999999995798783,0.9999999990447764,0.9999999996093094,0.9999999995210149,
