,bert-base-uncased,xlm-roberta-base,bert-base-multilingual-cased,allenai/longformer-base-4096,microsoft/deberta-base,distilbert-base-multilingual-cased,roberta-base,xlnet-base-cased,google/electra-base-discriminator,distilroberta-base,distilbert-base-uncased,albert-base-v2
train,0.9551087249089749,0.9218821939412211,0.8875710396412607,0.9837116486540417,0.9542323299537061,0.9459183982220433,0.983778863322045,0.9255380496603572,0.9394441737394434,0.9728072932422674,0.9722479463972094,0.9441975400285415
validation,0.8513830657146957,0.7478905363595135,0.6498298940547129,0.9484812555685012,0.8510491550974248,0.825015781356908,0.9477579480698978,0.7678911734580405,0.8121756642729016,0.9111056458697224,0.9079624274998623,0.816118253893657
test,0.8435047822661521,0.7277490913576314,0.6379406827242226,0.9457337895324983,0.8431306729534208,0.813674785579414,0.9450714096925941,0.7489012878304993,0.7841334981025976,0.9071418426013946,0.9025146919863218,0.8074248850987822
