,bert-base-uncased,xlm-roberta-base,bert-base-multilingual-cased,allenai/longformer-base-4096,microsoft/deberta-base,distilbert-base-multilingual-cased,roberta-base,xlnet-base-cased,google/electra-base-discriminator,distilroberta-base,distilbert-base-uncased,albert-base-v2
bert-base-uncased,,0.739854011380078,0.6347334693906841,0.7840574492294117,0.8066586315220161,0.7311467759869954,0.7758623638939169,0.7623983246548088,0.8219477658146617,0.7952831051593351,0.9288128542211651,0.8163202326212342
xlm-roberta-base,0.6511885075322522,,0.6288862903793655,0.7797664849166632,0.7934092191176513,0.7503837787636481,0.7768066513794804,0.7910495618454125,0.7845223186292316,0.8078839210116155,0.7142685071008026,0.8107472637824853
bert-base-multilingual-cased,0.6904131903417935,0.7643322169471841,,0.773844683232817,0.7893642211995031,0.8612360880495754,0.7673806308144507,0.7823777025622841,0.7907963315260853,0.794699255166736,0.7546728857938441,0.8023209667116621
allenai/longformer-base-4096,0.7253003570488775,0.7732510377586377,0.6442457484133495,,0.8625298391835262,0.7519129660896788,0.962673850051038,0.8068400707209262,0.8166480855192153,0.9222192959818369,0.7855734647970976,0.8279969888113466
microsoft/deberta-base,0.7246960526836281,0.7720563903182469,0.6451052542116709,0.8431876085798955,,0.7542463247844854,0.8366045564163138,0.8112213830317527,0.8272916486825552,0.8619565884522735,0.7837413484113067,0.8303748740423075
distilbert-base-multilingual-cased,0.6738291428247107,0.7763129512658846,0.7594207587398647,0.771431132241067,0.7855712709435263,,0.7673611212044306,0.7808533379533907,0.7821254930202659,0.8017695262942981,0.7459004197855942,0.8059077449340194
roberta-base,0.7174446582839296,0.7729517258573988,0.6396702388261724,0.9632689835882212,0.8588095159604484,0.7496198397694499,,0.8050974540757232,0.8140607013606286,0.9253346782722154,0.7785519660208774,0.8271608602905931
xlnet-base-cased,0.6487489745164103,0.7147761199714465,0.5905402449301407,0.7581688834352849,0.7792230541934332,0.6927537589178987,0.7496664918814308,,0.7558358350419152,0.7751518132336113,0.7084122558799814,0.7757135994034815
google/electra-base-discriminator,0.5692752217366404,0.6828547052944185,0.5121650497803065,0.7110423798762746,0.7149256909564154,0.6022032771911574,0.7060663147856011,0.7525775539536681,,0.7164593548076461,0.6174507190842923,0.7508180771167893
distilroberta-base,0.7088760011901629,0.7812214943226322,0.6475439824334877,0.9036958252789636,0.8560444944692183,0.7644680618270183,0.9072917167450592,0.8093636455740563,0.8034950815189648,,0.7750046453734704,0.8305409410012202
distilbert-base-uncased,0.9029565315350178,0.757813659316331,0.6563826273255963,0.800343582576287,0.82131747238349,0.7596447238502182,0.7928805995096324,0.7777000761312929,0.8289738797304421,0.8172355242702098,,0.8339199344573183
albert-base-v2,0.6644750340967919,0.7522480070654162,0.6050548291987656,0.7718826783304612,0.7873615065275219,0.718163217363474,0.767540019856199,0.7899284185223886,0.814816403766344,0.7930817339063356,0.7294106250275276,
